Name,State,Latitude,Longitude,Status,Commodity Group
Adamsfield,TAS,-42.7279,146.3296,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel
Andover,WA,-20.8545,117.1182,Mineral deposit,Nickel +/- Cobalt +/- PGE
Area 55,NT,-13.0139,130.9674,Mineral deposit,Nickel +/- Cobalt +/- PGE
Avebury,TAS,-41.9201,145.2485,Operating mine,Nickel +/- Cobalt +/- PGE
Avonbank,VIC,-36.6370,142.3089,Mine - under development,"Heavy mineral sands - Titanium, Zirconium, REE"
Barnes Hill,TAS,-41.2212,146.7726,Mineral deposit,Nickel +/- Cobalt +/- PGE
Barrow Creek,NT,-21.5167,134.1500,Mineral deposit,Nickel +/- Cobalt +/- PGE
Beta Hunt,WA,-31.2403,121.6939,Operating mine,Nickel +/- Cobalt +/- PGE
Bidaminna,WA,-31.1005,115.6034,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE"
Black Swan,WA,-30.3934,121.6520,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE
Brockman,WA,-18.3209,127.7837,Mineral deposit,"REE, Zirconium, Niobium, +/- Hafnium, Lithium, Tantalum, Gallium"
Broken Hill Cobalt,NSW,-32.0930,141.1938,Mineral deposit,Nickel +/- Cobalt +/- PGE
Brolga,QLD,-23.0302,150.3000,Mineral deposit,Nickel +/- Cobalt +/- PGE
Browns,NT,-12.9939,130.9975,Mineral deposit,Nickel +/- Cobalt +/- PGE
Browns Range,WA,-18.8595,128.9398,Mine - care and maintenance,Rare Earth Elements (REE)
Bulong,WA,-30.6904,121.8220,Mineral deposit,Nickel +/- Cobalt +/- PGE
Bungalally,VIC,-36.8002,142.2488,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE"
Burracoppin,WA,-31.6973,118.7120,Mineral deposit,Rare Earth Elements (REE)
Byro East,WA,-26.0323,116.3791,Mineral deposit,Nickel +/- Cobalt +/- PGE
Callisto,WA,-32.0980,121.6546,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel
Camelback Bore,WA,-29.1732,122.2539,Mineral deposit,Nickel +/- Cobalt +/- PGE
Canegrass,WA,-30.2046,120.9849,Mineral deposit,Nickel +/- Cobalt +/- PGE
Canoona,QLD,-23.0797,150.2659,Mineral deposit,Nickel +/- Cobalt +/- PGE
Carlingup,WA,-33.5727,120.2209,Mineral deposit,Nickel +/- Cobalt +/- PGE
Carr Boyd,WA,-30.0659,121.6261,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel
Cassini,WA,-31.7009,121.6211,Operating mine,Nickel +/- Cobalt +/- PGE
Cawse,WA,-30.3689,121.1485,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE
Charley Creek,NT,-23.5011,132.8747,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE"
Circle Valley,WA,-32.9921,121.8910,Mineral deposit,Rare Earth Elements (REE)
Claude Hills,SA,-26.0110,129.1756,Mineral deposit,Nickel +/- Cobalt +/- PGE
Cliffs,WA,-27.3105,120.5528,Operating mine,Nickel +/- Cobalt +/- PGE
Coglia,WA,-29.0110,122.9884,Mineral deposit,Nickel +/- Cobalt +/- PGE
Copernicus,WA,-17.6588,127.9910,Mineral deposit,Nickel +/- Cobalt +/- PGE
Corkwood,WA,-17.2950,128.1877,Mineral deposit,Nickel +/- Cobalt +/- PGE
Coronation Dam,WA,-29.5235,122.2705,Mineral deposit,Nickel +/- Cobalt +/- PGE
Coronation Hill,NT,-13.5862,132.6074,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel
Cosmos ,WA,-27.6003,120.5763,Mine - under development,Nickel +/- Cobalt +/- PGE
Cowalinya,WA,-32.9100,122.2900,Mineral deposit,Rare Earth Elements (REE)
Cummins Range,WA,-19.2849,127.1666,Mineral deposit,Rare Earth Elements (REE)
Deep Leads,TAS,-41.4600,146.7400,Mineral deposit,Rare Earth Elements (REE)
Diggers Area,WA,-32.7158,119.8104,Mineral deposit,Nickel +/- Cobalt +/- PGE
Donald,VIC,-36.4994,142.7815,Mine - under development,"Heavy mineral sands - Titanium, Zirconium, REE"
Dubbo,NSW,-32.4643,148.6235,Mine - under development,"REE, Zirconium, Niobium, +/- Hafnium, Lithium, Tantalum, Gallium"
East Cooee,WA,-31.3444,121.7889,Mineral deposit,Nickel +/- Cobalt +/- PGE
East Scotia,WA,-31.1823,121.4570,Mineral deposit,Nickel +/- Cobalt +/- PGE
Elaine Dorothy,QLD,-20.8028,140.0228,Mineral deposit,Rare Earth Elements (REE)
Eneabba stockpile,WA,-29.8881,115.3037,Operating mine,"Heavy mineral sands - Titanium, Zirconium, REE"
Fingerboards,VIC,-37.7909,147.3112,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE"
Fisher East,WA,-26.8035,121.5537,Mineral deposit,Nickel +/- Cobalt +/- PGE
Flemington,NSW,-32.7431,147.3926,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel
Flying Fox,WA,-32.4185,119.6890,Operating mine,Nickel +/- Cobalt +/- PGE
Foster-Baker,WA,-31.3480,121.7965,Mineral deposit,Nickel +/- Cobalt +/- PGE
Four Corners ,WA,-29.3144,120.6000,Mineral deposit,Nickel +/- Cobalt +/- PGE
Frost,WA,-30.0584,121.6400,Mineral deposit,Nickel +/- Cobalt +/- PGE
Ghan Well,WA,-28.8710,122.1320,Mineral deposit,Nickel +/- Cobalt +/- PGE
Ghost Rocks,WA,-29.5275,120.8713,Mineral deposit,Nickel +/- Cobalt +/- PGE
Golden Ridge,WA,-30.9106,121.7167,Mineral deposit,Nickel +/- Cobalt +/- PGE
Goodyear Nickel,WA,-31.0363,121.8035,Mineral deposit,Nickel +/- Cobalt +/- PGE
Goongarrie,WA,-30.0085,121.1476,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel
Goschen,VIC,-35.5599,143.5316,Mine - under development,"Heavy mineral sands - Titanium, Zirconium, REE"
Goschen Central,VIC,-35.8787,143.3567,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE"
Grey Dam,WA,-30.4721,122.1492,Mineral deposit,Nickel +/- Cobalt +/- PGE
Gunnawarra,QLD,-17.9485,145.1396,Mineral deposit,Nickel +/- Cobalt +/- PGE
Hampton,WA,-30.4663,122.0392,Mineral deposit,Nickel +/- Cobalt +/- PGE
Homeville,NSW,-32.0105,147.0487,Mineral deposit,Nickel +/- Cobalt +/- PGE
Honeymoon Well,WA,-26.9200,120.3790,Mineral deposit,Nickel +/- Cobalt +/- PGE
Hurlls Hill,NSW,-31.4809,152.8674,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel
Irwin-Coglia,WA,-29.1547,123.0460,Mineral deposit,Nickel +/- Cobalt +/- PGE
Jericho,WA,-27.3899,120.5755,Mineral deposit,Nickel +/- Cobalt +/- PGE
Jimberlana,WA,-32.2370,120.4542,Mineral deposit,Nickel +/- Cobalt +/- PGE
John Galt,WA,-17.3458,128.2013,Mineral deposit,Rare Earth Elements (REE)
Julimar,WA,-31.5216,116.2102,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel
Koppamurra,SA,-36.8278,140.8489,Mineral deposit,Rare Earth Elements (REE)
Korella,QLD,-21.9388,139.9757,Mineral deposit,Rare Earth Elements (REE)
Lagoon Hill,QLD,-23.0744,150.2192,Mineral deposit,Nickel +/- Cobalt +/- PGE
Lake Rebecca,WA,-30.0655,122.3570,Mineral deposit,Nickel +/- Cobalt +/- PGE
Lanfranchi,WA,-31.5055,121.8429,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE
Larkin Find,WA,-29.4663,122.2577,Mineral deposit,Nickel +/- Cobalt +/- PGE
Leinster,WA,-28.1674,120.9166,Operating mine,Nickel +/- Cobalt +/- PGE
Lucky Break,QLD,-19.4796,145.6908,Mineral deposit,Nickel +/- Cobalt +/- PGE
Lyons,WA,-23.9875,116.3505,Mineral deposit,Rare Earth Elements (REE)
Maggie Hays,WA,-32.2225,120.5170,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE
Mangaroon,WA,-23.9560,116.0330,Mineral deposit,Rare Earth Elements (REE)
Marriott,WA,-28.4491,120.9915,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mary Kathleen,QLD,-20.7155,140.0040,Mineral deposit,Rare Earth Elements (REE)
Mawson,WA,-30.7375,124.4468,Mineral deposit,Nickel +/- Cobalt +/- PGE
Melba Flats,TAS,-41.8500,145.3833,Mineral deposit,Nickel +/- Cobalt +/- PGE
Milo,QLD,-20.7587,140.2222,Mineral deposit,Rare Earth Elements (REE)
Mineral Patch Hill,WA,-29.0369,122.9846,Mineral deposit,Nickel +/- Cobalt +/- PGE
Miriam,WA,-31.0712,121.0878,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mission Sill,WA,-32.2016,121.6646,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mitre Hill,VIC,-37.2254,140.9960,Mineral deposit,Rare Earth Elements (REE)
Mount Cobalt,QLD,-26.1962,152.2759,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Fitch,NT,-12.9468,130.9483,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Jewell,WA,-30.1804,121.4560,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Keith,WA,-27.2296,120.5417,Operating mine,Nickel +/- Cobalt +/- PGE
Mount Margaret,WA,-28.3119,120.9861,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Martin,WA,-31.0089,121.6800,Mineral deposit,Nickel +/- Cobalt +/- PGE
Mount Sholl,WA,-20.9123,116.8921,Mineral deposit,Nickel +/- Cobalt +/- PGE
